DATE,Recession,Nominal_GDP_YoY,Real_GDP_YoY,CP_QoQ
7/1/1959,0,8.06704251,6.726222851,-8.477684365
10/1/1959,0,5.814174615,4.584935628,-1.482691656
1/1/1960,0,6.332765074,4.92379619,8.304130163
4/1/1960,0,3.525666169,2.059097339,-6.650488242
7/1/1960,1,3.917841511,2.487655453,-3.989230007
10/1/1960,1,2.193908437,0.885101365,-3.548979789
1/1/1961,1,0.43674721,-0.667523224,-2.336073792
4/1/1961,0,2.67335699,1.565784682,4.955001198
7/1/1961,0,4.04322549,3.011533587,5.366632976
10/1/1961,0,7.481529886,6.39749899,7.04892162
1/1/1962,0,8.989611352,7.569160859,1.737245267
4/1/1962,0,8.067933291,6.730272633,-0.085236959
7/1/1962,0,7.286528651,6.006872761,2.95455838
10/1/1962,0,5.454244831,4.309846819,2.378124568
1/1/1963,0,4.656295401,3.601109802,-0.965844709
4/1/1963,0,4.894680911,3.824586007,5.295848316
7/1/1963,0,5.81534152,4.818697418,2.589775432
10/1/1963,0,6.803749918,5.159809847,2.61014299
1/1/1964,0,7.745241864,6.217339646,9.145202517
4/1/1964,0,7.768454884,6.182313598,-0.02702155
7/1/1964,0,7.384194748,5.521285466,2.511430953
10/1/1964,0,6.633809321,5.15781279,-0.742661276
1/1/1965,0,7.161305541,5.4783,12.23048656
4/1/1965,0,7.590831533,5.660274908,3.698297797
7/1/1965,0,8.278819879,6.347484808,1.793662267
10/1/1965,0,10.68922545,8.462270659,5.717809294
1/1/1966,0,10.8588863,8.477019498,2.723721654
4/1/1966,0,10.24252559,7.489340027,0.788051894
7/1/1966,0,9.38380378,6.042108531,-0.305585905
10/1/1966,0,7.960671472,4.504402897,-1.506926726
1/1/1967,0,6.086958707,2.925069232,-4.111827807
4/1/1967,0,5.466215973,2.637737714,0.192196113
7/1/1967,0,5.562821636,2.7387436,2.32002606
10/1/1967,0,5.776657202,2.670927224,5.229925716
1/1/1968,0,7.725576602,3.844815277,-1.137872498
4/1/1968,0,10.0545005,5.514676234,2.900374022
7/1/1968,0,9.892364253,5.33535445,0.822786901
10/1/1968,0,9.823822182,4.957856155,2.580951757
1/1/1969,0,9.231493303,4.469434131,-0.966469113
4/1/1969,0,7.992345432,3.06478002,-2.676065426
7/1/1969,0,8.322351642,2.947610114,-2.819259136
10/1/1969,0,7.243267254,2.044207349,-1.396800491
1/1/1970,1,5.825112726,0.322791462,-4.310300095
4/1/1970,1,5.783334324,0.161124608,-0.233176075
7/1/1970,1,5.447125897,0.421343681,1.699460086
10/1/1970,1,4.860679653,-0.167352478,-4.956174731
1/1/1971,0,7.986681887,2.697158765,12.7497657
4/1/1971,0,8.328469376,3.106441323,3.770448198
7/1/1971,0,8.435637475,3.005276945,6.606856777
10/1/1971,0,9.341195361,4.365553189,3.292558307
1/1/1972,0,8.4088002,3.472506066,5.892194661
4/1/1972,0,9.521816252,5.251377703,1.428865838
7/1/1972,0,9.585921413,5.378364037,4.30612936
10/1/1972,0,11.64474077,6.891806086,8.415147265
1/1/1973,0,11.93563512,7.5611848,14.44947535
4/1/1973,0,11.64889539,6.319553786,3.6484662
7/1/1973,0,11.1014857,4.771349375,2.14877869
10/1/1973,0,11.09071837,4.024055262,5.033560364
1/1/1974,1,8.255522726,0.638998413,6.02618279
4/1/1974,1,8.216286026,-0.208261695,2.562668655
7/1/1974,1,8.800715283,-0.629039832,4.774845728
10/1/1974,1,8.358119582,-1.945763432,-10.86403436
1/1/1975,1,8.376223588,-2.299771471,-12.23356934
4/1/1975,0,7.960296878,-1.834842421,4.961618465
7/1/1975,0,9.602019454,0.79861539,16.5231475
10/1/1975,0,10.13653364,2.55479512,7.131078899
1/1/1976,0,12.64581255,6.154303273,6.939262316
4/1/1976,0,12.13661264,6.173984642,2.900483791
7/1/1976,0,10.33664362,4.958256901,1.676296768
10/1/1976,0,9.787658408,4.311515992,0.180783636
1/1/1977,0,9.237143687,3.22683944,7.721563581
4/1/1977,0,10.99030843,4.465304296,5.953374135
7/1/1977,0,12.29302253,5.769993107,4.02643133
10/1/1977,0,11.8906173,5.013271222,0.658822959
1/1/1978,0,10.76671186,4.114111809,3.43377589
4/1/1978,0,13.41129398,6.077933226,10.93585516
7/1/1978,0,13.05563016,5.247033083,3.626364408
10/1/1978,0,14.44731942,6.65955972,6.188435639
1/1/1979,0,14.70201021,6.510448394,1.402156357
4/1/1979,0,11.1344281,2.656695358,3.929353393
7/1/1979,0,11.37811982,2.389453451,2.17498429
10/1/1979,0,9.969280756,1.284088157,-1.541538353
1/1/1980,0,10.41838669,1.420553642,0.294350272
4/1/1980,1,7.95389247,-0.775068744,-12.87845183
7/1/1980,1,7.082039238,-1.623745716,3.746714874
10/1/1980,0,9.606653443,-0.039051531,3.122614291
1/1/1981,0,11.98505148,1.600001199,1.889232337
4/1/1981,0,13.05448867,2.968670661,-5.59280211
7/1/1981,0,14.14767741,4.325718701,2.510282513
10/1/1981,1,9.889645383,1.29982502,-1.67950468
1/1/1982,1,4.804292675,-2.190515057,-10.02355275
4/1/1982,1,5.357732349,-1.010745238,1.002975862
7/1/1982,1,3.242124401,-2.556041752,-2.559471846
10/1/1982,1,3.710751404,-1.443183756,-3.465498995
1/1/1983,0,6.081021238,1.431473165,0.917633411
4/1/1983,0,7.409305961,3.268479687,11.10287271
7/1/1983,0,9.590793751,5.736967079,5.906911055
10/1/1983,0,11.52499544,7.89966397,2.785308499
1/1/1984,0,12.51336942,8.578045115,4.192587171
4/1/1984,0,12.03607977,7.996531921,0.531378711
7/1/1984,0,10.70891383,6.900732226,-3.887371487
10/1/1984,0,9.324701308,5.575643774,0.602819135
1/1/1985,0,8.242311903,4.554822264,-4.351171902
4/1/1985,0,7.115072048,3.683987731,0.36744145
7/1/1985,0,7.40706372,4.262423409,1.819728141
10/1/1985,0,7.124005466,4.182460059,0.698464818
1/1/1986,0,6.565365725,4.146107166,-16.73269168
4/1/1986,0,5.83142234,3.702004546,-1.970584362
7/1/1986,0,5.035501039,3.119178729,-0.188638474
10/1/1986,0,4.804871364,2.907239668,3.716121331
1/1/1987,0,4.75303989,2.711584824,8.14137824
4/1/1987,0,5.738184602,3.353600673,15.09134731
7/1/1987,0,6.009242417,3.261985972,6.843174051
10/1/1987,0,7.522435781,4.474555651,3.372774287
1/1/1988,0,7.437619596,4.241257897,3.514308814
4/1/1988,0,7.98716647,4.484493226,5.708417914
7/1/1988,0,8.153864579,4.193200105,-0.278671678
10/1/1988,0,7.8178009,3.799338837,4.854839984
1/1/1989,0,8.630965756,4.31516321,-0.06241324
4/1/1989,0,8.139192098,3.747910826,-1.955400502
7/1/1989,0,7.808875348,3.907541907,-3.782329361
10/1/1989,0,6.43999297,2.74321193,0.063538445
1/1/1990,0,6.558363407,2.821006526,3.726235741
4/1/1990,0,6.192735703,2.412704964,4.480571848
7/1/1990,0,5.614231924,1.72736225,1.457075394
10/1/1990,1,4.480344207,0.603062734,-0.286330816
1/1/1991,1,2.7666486,-0.950197395,3.866855328
4/1/1991,0,2.799215037,-0.538930796,1.701179974
7/1/1991,0,3.172357773,-0.10280887,1.917969225
10/1/1991,0,4.326703619,1.166401166,1.825180795
1/1/1992,0,5.433543137,2.858936912,4.334690494
4/1/1992,0,5.613003851,3.169835815,4.473276471
7/1/1992,0,5.812240762,3.665385441,-4.616085629
10/1/1992,0,6.644749654,4.382645389,2.25254145
1/1/1993,0,5.757522039,3.319905807,-0.421360853
4/1/1993,0,5.226215208,2.806668207,4.293296039
7/1/1993,0,4.803932482,2.286511741,3.753814415
10/1/1993,0,4.983457827,2.60771076,5.616587408
1/1/1994,0,5.738841711,3.430706936,8.060003556
4/1/1994,0,6.432602789,4.22561069,3.449569167
7/1/1994,0,6.523839097,4.337048255,5.1353722
10/1/1994,0,6.295501771,4.116167021,3.036620094
1/1/1995,0,5.71468363,3.481405627,3.11295557
4/1/1995,0,4.609758255,2.402375101,4.977112153
7/1/1995,0,4.802160665,2.673325816,1.594210415
10/1/1995,0,4.256012645,2.19979163,1.501258575
1/1/1996,0,4.602043341,2.601309847,3.917578421
4/1/1996,0,5.960205498,4.002379484,0.574455886
7/1/1996,0,5.834644106,4.050134887,-0.557478391
10/1/1996,0,6.267991116,4.421452443,2.543189931
1/1/1997,0,6.280599985,4.314068944,2.439458237
4/1/1997,0,6.049977343,4.311271716,3.56779628
7/1/1997,0,6.535338037,4.674702492,4.055136027
10/1/1997,0,6.127724364,4.483552816,0.612113031
1/1/1998,0,6.024701485,4.855526883,-11.88866955
4/1/1998,0,5.292678274,4.092790086,-0.145402751
7/1/1998,0,5.290123093,4.103452728,-0.58227218
10/1/1998,0,6.024293892,4.883126569,-3.024811638
1/1/1999,0,6.14902419,4.816336793,6.430583222
4/1/1999,0,6.204344204,4.721885912,2.916942704
7/1/1999,0,6.200230082,4.791118247,0.122762616
10/1/1999,0,6.522257231,4.823574271,3.814852224
1/1/2000,0,6.274085759,4.224744861,-4.390753174
4/1/2000,0,7.573945987,5.244456811,-1.012489315
7/1/2000,0,6.519700461,3.973172353,-0.921115207
10/1/2000,0,5.409756136,2.90559431,-3.754804482
1/1/2001,0,4.679500337,2.197505186,5.53526498
4/1/2001,1,3.427884446,0.996298327,3.356458246
7/1/2001,1,2.712255522,0.489236293,-8.537620879
10/1/2001,1,2.153377852,0.167318294,-3.644936742
1/1/2002,0,2.991997025,1.337258657,8.924095937
4/1/2002,0,2.721577507,1.325378753,10.04372677
7/1/2002,0,3.642378482,2.146516983,8.936814854
10/1/2002,0,3.761261821,1.992524822,10.87663429
1/1/2003,0,3.622469514,1.679257012,-0.382326236
4/1/2003,0,3.906384042,1.955065152,0.427879804
7/1/2003,0,5.304323364,3.231135388,5.710830784
10/1/2003,0,6.425939569,4.300440651,7.022753155
1/1/2004,0,6.705829152,4.341952086,13.64160611
4/1/2004,0,7.072090062,4.227491217,4.439989652
7/1/2004,0,6.38591802,3.494860356,4.546069924
10/1/2004,0,6.413226241,3.351104944,0.308680759
1/1/2005,0,7.07713969,3.908843257,21.10480923
4/1/2005,0,6.685819935,3.61773558,2.077595356
7/1/2005,0,6.804665662,3.448598847,3.595190632
10/1/2005,0,6.362069012,2.972736694,5.102661807
1/1/2006,0,6.515668248,3.213106796,1.836042792
4/1/2006,0,6.428771299,2.972903856,2.750350395
7/1/2006,0,5.535766705,2.325277937,1.529803015
10/1/2006,0,5.368846049,2.634560376,-2.874807317
1/1/2007,0,4.533302057,1.57672497,-4.678427401
4/1/2007,0,4.716338273,1.93437472,5.64056631
7/1/2007,0,5.003025193,2.368036077,-3.611653566
10/1/2007,0,4.811390101,2.133364682,1.65159456
1/1/2008,1,3.453144706,1.392471206,-7.489095921
4/1/2008,1,3.219110959,1.376010766,1.688096648
7/1/2008,1,2.299363566,0.265967272,-4.719687421
10/1/2008,1,-0.726120142,-2.541153688,-39.79481326
1/1/2009,1,-1.874241239,-3.234227293,45.60451071
4/1/2009,1,-3.258944869,-3.978837405,6.523310798
7/1/2009,0,-3.021122426,-3.132815701,15.26060084
10/1/2009,0,0.294628862,0.105572523,8.453384819
1/1/2010,0,2.312454204,1.745265845,4.783051815
4/1/2010,0,4.164850643,2.913595029,-0.648137893
7/1/2010,0,4.794315574,3.344209254,5.493855636
10/1/2010,0,4.49262039,2.775960909,0.059094081
1/1/2011,0,3.974625811,2.0377972,-8.113080425
4/1/2011,0,3.854062494,1.743708865,4.380326283
7/1/2011,0,3.342267436,0.942653465,0.759865532
10/1/2011,0,3.480099969,1.543075872,4.988835886
1/1/2012,0,4.6728947,2.638069311,15.84735446
4/1/2012,0,4.175313332,2.403335839,-3.943687719
7/1/2012,0,4.29367804,2.573712314,0.991012398
10/1/2012,0,3.649479534,1.551852007,-1.628488325
1/1/2013,0,3.605644601,1.700868486,-0.903212191
4/1/2013,0,3.218166836,1.519938204,-0.405238116
7/1/2013,0,3.886733089,2.237022493,2.125725389
10/1/2013,0,4.699027473,3.00914496,2.718539174
1/1/2014,0,3.300953635,1.650817556,-3.402318772
4/1/2014,0,4.721356793,2.689152159,5.650000893
7/1/2014,0,5.015914391,3.059782928,2.993475299
10/1/2014,0,4.188338787,2.685835101,-1.658204999
1/1/2015,0,5.034330678,3.969299499,-5.089238265
4/1/2015,0,4.345552715,3.279087861,1.166521224
7/1/2015,0,3.355371544,2.447321366,-2.946080161
10/1/2015,0,2.920141208,2.119861313,-5.222937125
1/1/2016,0,2.559876312,1.795016891,3.38747647
4/1/2016,0,2.362817854,1.493250833,3.295811834
7/1/2016,0,2.668313115,1.805761531,-0.42194319
10/1/2016,0,3.548886021,2.181566303,3.730351765
1/1/2017,0,4.070785531,2.087461694,6.166939739
4/1/2017,0,3.884953918,2.330413794,-1.261985094
7/1/2017,0,4.234220534,2.410821412,2.062133327
10/1/2017,0,4.9645879,2.994143497,-9.540228435
1/1/2018,0,5.438093527,3.328810095,6.550463045
4/1/2018,0,5.876279532,3.298962847,3.839888072
7/1/2018,0,5.617009846,3.130030641,-2.371802608
10/1/2018,0,4.395743533,2.125110751,0.080075618
1/1/2019,0,3.815224822,1.851285045,1.131024986
4/1/2019,0,3.905866757,2.154053334,0.652013969
7/1/2019,0,4.305801364,2.670264785,2.311246347
10/1/2019,0,4.706612773,3.18255607,0.984243249
1/1/2020,0,2.854322421,1.226554789,-5.212379342
4/1/2020,1,-6.881681009,-7.528460211,-8.564391046
7/1/2020,0,-0.214996744,-1.468931477,37.95475646
10/1/2020,0,0.557528197,-1.08328503,-6.606957379
1/1/2021,0,4.117068458,1.572607324,12.85767145
4/1/2021,0,16.96979226,11.95027221,10.43891781
7/1/2021,0,10.07653952,4.735316795,-1.463951408
10/1/2021,0,11.94170474,5.421091782,-2.055452931
1/1/2022,0,10.74739432,3.565082005,2.17966802
4/1/2022,0,9.668023363,1.870598451,8.20793349
7/1/2022,0,9.088373217,1.713213136,-4.295313609
10/1/2022,0,7.113487084,0.651691659,-5.422324842
1/1/2023,0,7.12963654,1.717927302,1.086178132
4/1/2023,0,5.945516633,2.382468159,0.757295451
7/1/2023,0,6.214700654,2.926886998,3.959715591
10/1/2023,0,5.864015642,3.134491112,2.60169229
1/1/2024,0,5.485637681,2.969099275,3.173477927
